1	7 
2	5 
3	7 
4	11 
5	3 
6	8 
7	3 
8	2 
9	3 
10	6 
11	8 
12	11 
13	1 
14	1 
15	10 
16	3 
17	11 
18	5 
19	1 
20	9 
21	4 
22	6 
23	12 
24	12 
25	11 
26	10 
27	3 
28	11 
29	1 
30	10 
31	10 
32	2 
33	1 
34	3 
35	3 
36	3 
37	11 
38	12 
39	8 
40	7 
41	1 
42	11 
43	1 
44	1 
45	5 
46	12 
47	10 
48	10 
49	12 
50	3 
51	12 
52	2 
53	5 
54	7 
55	6 
56	8 
57	2 
58	4 
59	2 
60	4 
61	5 
62	10 
63	7 
64	11 
65	11 
66	9 
67	5 
68	10 
69	4 
70	12 
71	10 
72	11 
73	6 
74	5 
75	1 
76	6 
77	8 
78	11 
79	2 
80	6 
81	4 
82	3 
83	5 
84	12 
85	2 
86	11 
87	4 
88	10 
89	6 
90	3 
91	5 
92	1 
93	4 
94	12 
95	9 
96	5 
97	7 
98	12 
99	4 
100	8 
101	4 
102	10 
103	3 
104	1 
105	10 
106	1 
107	10 
108	12 
109	12 
110	8 
111	9 
112	3 
113	5 
114	8 
115	12 
116	7 
117	4 
118	10 
119	6 
120	1 
121	10 
122	7 
123	5 
124	12 
125	12 
126	4 
127	3 
128	1 
129	9 
130	5 
131	7 
132	7 
133	8 
134	7 
135	11 
136	1 
137	10 
138	11 
139	4 
140	4 
141	8 
142	10 
143	2 
144	1 
145	12 
146	1 
147	2 
148	6 
149	1 
150	5 
151	6 
152	5 
153	10 
154	11 
155	5 
156	4 
157	1 
158	4 
159	7 
160	6 
161	7 
162	12 
163	8 
164	12 
165	8 
166	12 
167	3 
168	10 
169	11 
170	5 
171	1 
172	6 
173	12 
174	4 
175	1 
176	1 
177	10 
178	10 
179	2 
180	7 
181	3 
182	12 
183	6 
184	10 
185	9 
186	12 
187	2 
188	5 
189	9 
190	6 
191	9 
192	5 
193	12 
194	2 
195	8 
196	6 
197	5 
198	11 
199	5 
200	7 
201	7 
202	12 
203	10 
204	2 
205	1 
206	4 
207	10 
208	9 
209	7 
210	2 
211	8 
212	6 
213	9 
214	9 
215	8 
216	2 
217	6 
218	7 
219	12 
220	1 
221	4 
222	4 
223	10 
224	5 
225	1 
226	4 
227	9 
228	12 
229	10 
230	4 
231	6 
232	1 
233	10 
234	5 
235	12 
236	10 
237	2 
238	7 
239	1 
240	10 
241	1 
242	3 
243	9 
244	7 
245	8 
246	11 
247	4 
248	12 
249	4 
250	12 
251	10 
252	4 
253	5 
254	8 
255	2 
256	2 
257	5 
258	5 
259	7 
260	12 
261	3 
262	12 
263	5 
264	1 
265	8 
266	6 
267	8 
268	2 
269	3 
270	12 
271	6 
272	12 
273	12 
274	11 
275	5 
276	2 
277	11 
278	4 
279	11 
280	6 
281	7 
282	9 
283	11 
284	7 
285	12 
286	10 
287	12 
288	11 
289	4 
290	9 
291	8 
292	6 
293	1 
294	5 
295	1 
296	11 
297	2 
298	4 
299	2 
300	2 
301	8 
302	9 
303	9 
304	12 
305	1 
306	12 
307	1 
308	6 
309	12 
310	9 
311	8 
312	3 
313	7 
314	3 
315	12 
316	3 
317	6 
318	7 
319	2 
320	8 
321	2 
322	12 
323	5 
324	9 
325	12 
326	12 
327	12 
328	5 
329	1 
330	9 
331	6 
332	4 
333	3 
334	1 
335	1 
336	12 
337	11 
338	9 
339	10 
340	10 
341	3 
342	10 
343	2 
344	10 
345	5 
346	12 
347	7 
348	6 
349	9 
350	9 
351	7 
352	8 
353	7 
354	9 
355	12 
356	1 
357	7 
358	12 
359	6 
360	3 
361	7 
362	7 
363	3 
364	12 
365	9 
366	4 
367	11 
368	9 
369	3 
370	7 
371	10 
372	8 
373	11 
374	12 
375	1 
376	7 
377	8 
378	7 
379	10 
380	12 
381	2 
382	9 
383	9 
384	2 
385	5 
386	4 
387	1 
388	10 
389	6 
390	5 
391	4 
392	6 
393	1 
394	6 
395	8 
396	1 
397	4 
398	5 
399	12 
400	3 
401	2 
402	12 
403	11 
404	4 
405	6 
406	10 
407	5 
408	6 
409	3 
410	10 
411	5 
412	6 
413	2 
414	4 
415	12 
416	1 
417	6 
418	6 
419	8 
420	11 
421	1 
422	12 
423	10 
424	4 
425	12 
426	10 
427	3 
428	2 
429	12 
430	1 
431	11 
432	11 
433	6 
434	3 
435	9 
436	9 
437	6 
438	1 
439	5 
440	2 
441	7 
442	10 
443	8 
444	3 
445	3 
446	7 
447	3 
448	7 
449	12 
450	8 
451	6 
452	7 
453	12 
454	12 
455	4 
456	12 
457	3 
458	2 
459	7 
460	12 
461	4 
462	11 
463	5 
464	7 
465	7 
466	1 
467	3 
468	1 
469	2 
470	6 
471	4 
472	7 
473	9 
474	1 
475	12 
476	12 
477	9 
478	3 
479	8 
480	5 
481	1 
482	11 
483	10 
484	12 
485	11 
486	1 
487	5 
488	9 
489	11 
490	9 
491	2 
492	8 
493	9 
494	3 
495	2 
496	8 
497	2 
498	9 
499	4 
500	5 
501	12 
502	6 
503	11 
504	9 
505	7 
506	4 
507	12 
508	6 
509	11 
510	2 
511	7 
512	3 
513	1 
